Plant,Variety Recommendations,Planting Tips,,
Arugula,"Astro (fast, mild), Rocket (classic), Sylvetta (wild/perennial, peppery)",Rich soil improves leaf size. Consistent moisture prevents bitterness. Light shade extends harvest. Harvest outer leaves first for cut-and-come-again.,,
"Lettuce, Head","Dano (red romaine, Piedmont favorite +++), Winter Density (Bibb-Romaine cross, cold hardy), Rouge d'Hiver (red, cold hardy), Buttercrunch (reliable butterhead), Jericho (heat tolerant romaine), Muir (Batavian, heat tolerant)",Loose soil + compost for good heads. Mulch to cool roots. Avoid excess nitrogen late in growth. Red/high-anthocyanin varieties have better cold tolerance. Seed goes dormant in hot soil—refrigerate seeds 2 days before summer sowing.,,
Radishes,"Hakurei (salad turnip—sweet, eaten raw +++), French Breakfast (mild, elongated), Easter Egg (color mix), Cherry Belle (classic), Daikon (large, mild)",Keep soil evenly moist to prevent pithy roots. Thin early for size. Add potassium for best flavor. Interplant between slower crops to maximize space.,,
"Lettuce, Leaf","Merlot (darkest red, cold hardy), New Red Fire (heat tolerant), Red Sails (slow bolt), Green Star (reliable), Oakleaf/Tango (heat tolerant)",Harvest outer leaves only for continuous production. Mulch to reduce heat stress. Tolerates partial shade. Red varieties have superior cold hardiness and mold resistance. Seed goes dormant in hot soil.,,
"Onions, Green","Evergreen Hardy White (perennial), White Lisbon (classic), Warrior (vigorous bunching), Tokyo Long White (mild)",Shallow planting keeps stems tender. Steady nitrogen improves leaf growth. Can plant thickly and harvest as scallions.,,
Spinach,"Space (smooth leaf, fast, mildew resistant), Tyee (semi-savoy, upright, overwintering standard), Bloomsdale (savoy, best flavor—better for fall), Olympia (smooth, rapid)",High organic matter boosts leaf size. Mulch for soil moisture. Smooth-leaf types easier to clean and less prone to rot. Upright varieties keep leaves off soil. pH 6.5-7.0 preferred.,,
Celery,"Utah Tall (classic flavor), Tango (compact, bolt resistant), Ventura (heat tolerant)",Heavy feeder—amend with compost + calcium. Constant moisture essential. Blanch stalks by hilling soil or using collars for milder flavor.,,
"Onions, Bulb","Candy (sweet, intermediate day), Patterson (storage, intermediate), Texas Legend (short day), Red Creole (short day, stores well)",Use intermediate or short-day varieties for NC—avoid long-day types. Starting from seed superior to sets (sets often bolt). Heavy feeders. Well-drained soil critical. Phosphorus at planting helps bulb development.,,
Leek,"King Richard (fast, tender), Lancelot (disease resistant), Megaton (large), Bandit (winter hardy)",Hill soil up stems to blanch. Rich soil improves diameter. Heavy feeder. Consistent moisture throughout growth.,,
Kale,"Lacinato Rainbow (cold/heat tolerant, anthocyanin-rich +++), Red Ursa (frilly, tender, very cold hardy, late bolt +++), Vates (dwarf curly, very cold hardy), Lacinato/Toscano (upright habit), Red Russian (tender), Winterbor (curly, cold hardy), Redbor (tall)",Remove lower leaves for airflow. Tolerates poor soil but thrives with compost. Flavor sweetens after frost. Bt for cabbage worms. Russian/Siberian types stay tender longer. Tall varieties reduce bottom rot. Use floating row covers to exclude pests.,,
